127.0.0.1 - - [21/Aug/2021:14:58:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Aug/2021:14:58:19 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 3487
0:0:0:0:0:0:0:1 - - [21/Aug/2021:14:58:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:00:14 +0530] "GET /Servlet_Skill4_S01/customerhome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:00:14 +0530] "GET /Servlet_Skill4_S01/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:00:14 +0530] "GET /Servlet_Skill4_S01/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:00:14 +0530] "GET /Servlet_Skill4_S01/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:03:31 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:30 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:30 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4082
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:51 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:56 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:57 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:04:59 +0530] "GET /Servlet_Skill4_S01/superadminhome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:05:00 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4081
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:05:53 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4067
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:05:57 +0530] "GET /Servlet_Skill4_S01/viewcustomers HTTP/1.1" 200 4067
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:06:00 +0530] "GET /Servlet_Skill4_S01/superadminlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:06:42 +0530] "GET /Servlet_Skill4_S01/customerlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:06:44 +0530] "GET /Servlet_Skill4_S01/customerreg.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:07:22 +0530] "GET /Servlet_Skill4_S01/customerlogin.html HTTP/1.1" 200 7115
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:08:01 +0530] "GET /Servlet_Skill4_S01/customerreg.html HTTP/1.1" 200 7574
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:08:14 +0530] "GET /Servlet_Skill4_S01/customerreg.html HTTP/1.1" 200 7524
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:09:20 +0530] "GET /Servlet_Skill4_S01/customerlogin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:09:48 +0530] "GET /Servlet_Skill4_S01/superadminlogin.html HTTP/1.1" 200 6278
0:0:0:0:0:0:0:1 - - [21/Aug/2021:15:10:14 +0530] "GET /Servlet_Skill4_S01/superadminlogin.html HTTP/1.1" 200 6279
